token,surprisal,token_id,model,condition,phenomenon,test_item,original_condition
The,3.6097894,0,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġnew,4.891073,1,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġexecutive,8.339819,2,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġwho,8.096662,3,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġoversaw,5.7762523,4,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġthe,0.7114297,5,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġmiddle,10.174172,6,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġmanagers,6.428348,7,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġapparently,9.105878,8,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġdoubted,9.907747,9,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġhimself,5.865054,10,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġon,4.607305,11,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġmost,7.0188274,12,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġmajor,3.3267593,13,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
Ġdecisions,0.25153512,14,text-davinci-002,grammatical,Anaphora,TS 1,grammatical
The,3.6097894,0,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġnew,4.891073,1,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġexecutive,8.339819,2,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġwho,8.096662,3,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġoversaw,5.7762523,4,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġthe,0.7114297,5,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġmiddle,10.174172,6,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġmanagers,6.428348,7,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġapparently,9.105878,8,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġdoubted,9.907747,9,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġthemselves,7.162563,10,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġon,4.9917994,11,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġmost,6.3863783,12,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġmajor,3.9818316,13,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
Ġdecisions,0.420407,14,text-davinci-002,ungrammatical,Anaphora,TS 1,grammatical
The,3.609791,0,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġpopular,7.4191637,1,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġsheriff,11.959841,2,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġwho,3.2576833,3,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġcampaigned,7.5629025,4,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġfor,1.2900977,5,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġthe,2.1748145,6,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġincumbent,8.766144,7,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġpoliticians,10.026555,8,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġnever,8.476933,9,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġprepared,9.1834,10,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġhimself,2.4788013,11,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
