"participant","gender","age","language","speech_therapy","mental_conditions","sentence","test_item","phenomenon","condition","accuracy","repetition","stability"
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,10,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,4,0
